Location ID;Location;Value;Rank;Anomaly (1901-2000 base period);1901-2000 Mean
100;Alabama;57.67;82;2.17;55.5
200;Arizona;12.83;84;0.24;12.59
300;Arkansas;49.42;65;-0.2;49.62
400;California;20.01;45;-2.39;22.4
500;Colorado;18.61;76;0.51;18.1
600;Connecticut;45.68;56;-1.18;46.86
700;Delaware;46.87;95;3.58;43.29
800;Florida;58.06;97;4.2;53.86
900;Georgia;51.72;76;1.49;50.23
1000;Idaho;26.51;102;2.61;23.9
1100;Illinois;41.07;94;3.64;37.43
1200;Indiana;43.35;89;3.68;39.67
1300;Iowa;38.78;107;6.63;32.15
1400;Kansas;25.56;45;-1.52;27.08
1500;Kentucky;46.74;55;-0.21;46.95
1600;Louisiana;59.74;80;2.69;57.05
1700;Maine;49.21;112;7.18;42.03
1800;Maryland;45.9;95;3.36;42.54
1900;Massachusetts;50.7;105;6.09;44.61
2000;Michigan;35.73;113;4.6;31.13
2100;Minnesota;28.81;93;2.83;25.98
2200;Mississippi;60.84;94;5.16;55.68
2300;Missouri;39.42;46;-1.11;40.53
2400;Montana;21.57;113;2.9;18.67
2500;Nebraska;24.97;88;2.31;22.66
2600;Nevada;9.91;63;-0.38;10.29
2700;New Hampshire;49.53;102;6.1;43.43
2800;New Jersey;50.26;101;5.33;44.93
2900;New Mexico;14.58;82;0.58;14
3000;New York;42.96;93;2.74;40.22
3100;North Carolina;50.74;77;1.36;49.38
3200;North Dakota;18.68;83;1.37;17.31
3300;Ohio;38.94;61;0.72;38.22
3400;Oklahoma;29.75;28;-4.05;33.8
3500;Oregon;34.92;91;2.66;32.26
3600;Pennsylvania;42.55;67;0.61;41.94
3700;Rhode Island;47.64;85;2.52;45.12
3800;South Carolina;47.44;72;-0.58;48.02
3900;South Dakota;20.22;78;1.14;19.08
4000;Tennessee;53.63;72;1.9;51.73
4100;Texas;26.31;52;-0.83;27.14
4200;Utah;13.64;71;0.12;13.52
4300;Vermont;45.76;94;4.09;41.67
4400;Virginia;43.65;67;0.71;42.94
4500;Washington;49.34;112;7.19;42.15
4600;West Virginia;42.95;39;-1.68;44.63
4700;Wisconsin;36.48;112;5.16;31.32
4800;Wyoming;17.78;99;1.85;15.93
